,,,,,,,,,
,,,,,,Supply,Demand,Balance Sheet,
,"7,150,000","6,020,270",2020,JUNE,JAWA TENGAH,"51,778,805","16,061,166","35,717,639",222.39%
,"62,406,757","41,948,649",2020,JUNE,DI YOGYAKARTA,"3,763,158","3,168,563","594,595",18.77%
,"27,789,189","12,810,811",2020,JUNE,JAWA TIMUR,"32,845,661","22,078,236","10,767,425",48.77%
,"8,704,054","4,902,703",2020,JUNE,BANTEN,"14,625,889","6,742,532","7,883,357",116.92%
,"4,268,919","3,456,757",2020,JUNE,BALI,"4,581,081","2,580,370","2,000,711",77.54%
,"3,756,757","1,295,946",2020,JUNE,NUSA TENGGARA BARAT,"2,246,799","1,819,346","427,454",23.49%
,"8,075,676","3,562,162",2020,JUNE,NUSA TENGGARA TIMUR,"1,977,240","682,077","1,295,164",189.89%
,"8,998,649","4,082,432",2020,JUNE,KALIMANTAN BARAT,"4,250,356","1,874,822","2,375,533",126.71%
,"582,432","470,270",2020,JUNE,KALIMANTAN SELATAN,"4,736,131","2,148,649","2,587,482",120.42%
,"9,259,459","5,656,757",2020,JUNE,KALIMANTAN UTARA,"306,543","247,511","59,033",23.85%
,"3,245,946","3,358,108",2020,JUNE,SULAWESI SELATAN,"4,873,400","2,977,240","1,896,159",63.69%
,"5,087,838","5,129,730",2020,JUNE,KALIMANTAN TENGAH,"1,708,393","1,767,425","-59,033",-3.34%
,"943,243","1,277,027",2020,JUNE,KALIMANTAN TIMUR,"2,677,809","2,699,858","-22,048",-0.82%
,"3,162,162","17,721,622",2020,JUNE,BENGKULU,"496,444","672,119","-175,676",-26.14%
,"710,811","1,518,919",2020,JUNE,DKI JAKARTA,"1,664,296","9,327,169","-7,662,873",-82.16%
,"471,622","1,217,568",2020,JUNE,SULAWESI UTARA,"374,111","799,431","-425,320",-53.20%
,"186,486","818,919",2020,JUNE,SULAWESI TENGAH,"248,222","640,825","-392,603",-61.27%
,"183,784","497,297",2020,JUNE,SULAWESI TENGGARA,"98,151","431,010","-332,859",-77.23%
,"186,486","475,676",2020,JUNE,GORONTALO,"96,728","261,735","-165,007",-63.04%
,"120,270","691,892",2020,JUNE,SULAWESI BARAT,"98,151","250,356","-152,205",-60.80%
,"2,703","374,324",2020,JUNE,MALUKU,"63,300","364,154","-300,853",-82.62%
,"86,486","129,730",2020,JUNE,MALUKU UTARA,"1,422","197,013","-195,590",-99.28%
,"793,243","1,783,784",2020,JUNE,PAPUA BARAT,"45,519","68,279","-22,760",-33.33%
,"9,975,676","2,791,892",2020,JUNE,PAPUA,"417,496","938,834","-521,337",-55.53%
,"95,362,162","30,704,054",2020,JULY,KEPULAUAN RIAU,"5,250,356","1,469,417","3,780,939",257.31%
,"3,640,541","1,304,054",2020,JULY,JAWA TENGAH,"50,190,612","16,160,028","34,030,583",210.58%
,"17,879,730","7,013,514",2020,JULY,NUSA TENGGARA TIMUR,"1,916,074","686,344","1,229,730",179.17%
,"7,828,378","3,583,784",2020,JULY,RIAU,"9,410,384","3,691,323","5,719,061",154.93%
,"107,089,189","49,828,378",2020,JULY,KALIMANTAN BARAT,"4,120,199","1,886,202","2,233,997",118.44%
,"8,722,973","4,106,757",2020,JULY,JAWA BARAT,"56,362,731","26,225,462","30,137,269",114.92%
,"26,937,838","12,889,189",2020,JULY,KALIMANTAN SELATAN,"4,591,038","2,161,451","2,429,587",112.41%
,"8,436,486","4,932,432",2020,JULY,BANTEN,"14,177,809","6,783,784","7,394,026",109.00%
,"8,904,054","5,390,541",2020,JULY,BALI,"4,440,256","2,596,017","1,844,239",71.04%
,"2,697,297","1,667,568",2020,JULY,LAMPUNG,"4,686,344","2,837,127","1,849,218",65.18%
,"17,075,676","10,782,432",2020,JULY,KEPULAUAN BABEL,"1,419,630","877,667","541,963",61.75%
,"8,975,676","5,690,541",2020,JULY,SUMATERA UTARA,"8,987,198","5,674,964","3,312,233",58.37%
,"60,491,892","42,206,757",2020,JULY,SULAWESI SELATAN,"4,724,040","2,995,021","1,729,018",57.73%
,"9,487,838","6,736,486",2020,JULY,JAWA TIMUR,"31,837,838","22,214,083","9,623,755",43.32%
,"564,865","472,973",2020,JULY,SUMATERA SELATAN,"4,993,599","3,545,519","1,448,080",40.84%
,"4,137,838","3,477,027",2020,JULY,KALIMANTAN UTARA,"297,297","248,933","48,364",19.43%
,"4,427,027","3,771,622",2020,JULY,NUSA TENGGARA BARAT,"2,177,809","1,830,014","347,795",19.01%
,"6,929,730","6,058,108",2020,JULY,ACEH,"2,330,014","1,985,064","344,950",17.38%
,"6,401,351","5,750,000",2020,JULY,DI YOGYAKARTA,"3,647,226","3,188,478","458,748",14.39%
,"3,340,541","3,012,162",2020,JULY,SUMATERA BARAT,"3,369,132","3,026,316","342,817",11.33%
,"4,932,432","5,160,811",2020,JULY,JAMBI,"1,758,179","1,585,349","172,831",10.90%
,"3,147,297","3,378,378",2020,JULY,KALIMANTAN TIMUR,"2,596,017","2,716,216","-120,199",-4.43%
,"914,865","1,285,135",2020,JULY,KALIMANTAN TENGAH,"1,656,472","1,778,094","-121,622",-6.84%
,"83,784","131,081",2020,JULY,BENGKULU,"481,508","676,387","-194,879",-28.81%
,"689,189","1,527,027",2020,JULY,PAPUA BARAT,"44,097","68,990","-24,893",-36.08%
,"768,919","1,794,595",2020,JULY,SULAWESI UTARA,"362,731","803,698","-440,967",-54.87%
,"181,081","478,378",2020,JULY,PAPUA,"404,694","944,523","-539,829",-57.15%
,"456,757","1,224,324",2020,JULY,SULAWESI BARAT,"95,306","251,778","-156,472",-62.15%
,"178,378","500,000",2020,JULY,SULAWESI TENGAH,"240,398","644,381","-403,983",-62.69%
,"181,081","824,324",2020,JULY,GORONTALO,"93,883","263,158","-169,275",-64.32%
,"3,064,865","17,829,730",2020,JULY,SULAWESI TENGGARA,"95,306","433,855","-338,549",-78.03%
,"116,216","695,946",2020,JULY,DKI JAKARTA,"1,613,087","9,384,068","-7,770,982",-82.81%
,"2,703","375,676",2020,JULY,MALUKU,"61,166","366,287","-305,121",-83.30%
,,,2020,JULY,MALUKU UTARA,"1,422","197,724","-196,302",-99.28%
